1	This qualitative descriptive study explores the experiences of Hispanic adolescent fathers in a community-based program, using life course theory as a framework. The study examines the critical life events that have shaped their fatherhood journey and how these events intersect with broader social and environmental factors, such as racism, discrimination, and neighborhood violence. Semi-structured interviews with 20 participants were analyzed using thematic analysis to identify patterns and themes. The findings highlight the complex interplay between positive and negative experiences, revealing both grief and resilience in the face of adversity. The study's results contribute to a more nuanced understanding of the underrepresented experiences of Hispanic adolescent fathers.#In this qualitative descriptive study, we explored the life experiences of Hispanic adolescent fathers, examining how critical life events shaped their fatherhood and perceptions of self. Drawing from life course theory, we investigated how these experiences influenced their sense of identity, family relationships, and life satisfaction. Semi-structured interviews with 20 participants revealed that many faced significant challenges, including racism, discrimination, and exposure to neighborhood violence. Yet, despite these hardships, participants expressed positive perceptions of their fatherhood, often finding meaning in their experiences. We identified a positive trajectory, where participants were able to transform their experiences into a meaningful life.	270
2	In a transgenic mouse model of melanoma, we investigated the effects of glutamine supplementation on tumour growth and survival under conditions of nutrient deprivation. Glutamine supplementation enhanced tumour growth, but when combined with a BRAF inhibitor, reduced tumour growth and increased survival. Metabolomic analysis revealed increased αKG levels, leading to hypomethylation and H3K4me3 demethylation, promoting oncogenic pathways. Dietary intervention and targeted therapy strategies targeting these epigenetic modifications hold promise for melanoma treatment. Furthermore, our results suggest that glutamine supplementation may promote tumour growth, potentially through its role in αKG synthesis, highlighting the need for nuanced nutritional approaches in cancer treatment.#This study employed a transgenic mouse model of melanoma to investigate the effects of glutamine supplementation on tumour growth and survival under conditions of nutrient deprivation. The model was treated with a BRAF inhibitor, a common targeted therapy for melanoma. Metabolomic analysis revealed increased αKG levels, indicative of glutamine metabolism, and associated with tumour growth and survival. Transcriptome analysis showed alterations in epigenetic marks, including hypomethylation and H3K4me3 modifications, in response to glutamine supplementation. These changes were correlated with activation of oncogenic pathways and improved tumour growth. Dietary intervention with glutamine also demonstrated enhanced tumour growth and survival in the model.	266
3	Plasmodesmata, the critical link between adjacent plant cells, have been long recognised as key players in plant multicellularity. However, recent studies have highlighted novel functions and increased plasticity in plasmodesmata, challenging our traditional understanding of these cell-to-cell boundaries. Structural signatures of plasmodesmata, such as protein complexes and ribonucleoproteins, have been shown to play crucial roles in selective transport and cell signalling. Furthermore, the functional specificity of plasmodesmata has been revealed through their ability to distinguish between different cellular identities, allowing for nuanced regulation of cell-to-cell communication. Our molecular insights into plasmodesmata reveal a complex and dynamic system, with novel functions awaiting discovery.#Plasmodesmata are structures connecting plant cells that facilitate the exchange of molecules between cells. Despite their well-known role in plant physiology, the functions of plasmodesmata extend beyond cell-to-cell transport, and their cellular identity has long been a subject of debate. Recent molecular insights into the structure and function of plasmodesmata have revealed novel functions and a level of functional specificity previously unknown. Structural signatures, such as the specific arrangement of membrane proteins and the presence of distinct cellular identities, distinguish plasmodesmata from other structures. This review aims to synthesize the current understanding of plasmodesmata in the context of plant multicellularity and cell signalling.	270
4	The development of bone-targeted therapeutic ligands is crucial for improving fracture repair and treating various bone diseases. We have designed and synthesized several acidic oligopeptides that selectively target bone tissues, exhibiting promising ligands with half-lives ranging from 1 to 5 days. Our results demonstrate that these bone-targeted ligands are effective in promoting fracture healing, reducing bone resorption, and mitigating the effects of bone cancers and osteomyelitis. Additionally, systemic administration of these ligands has shown a favorable toxicity profile, suggesting potential therapeutic applications in osteoporosis treatment. The promising ligands developed in this study hold significant promise for the treatment of bone diseases.#Bone anabolics and their effects on fracture repair and bone diseases remain a critical area of research. We report the development of a novel bone-targeting molecule, a selective ligand for the bone anabolic receptor, coupled with an acidic oligopeptide. This design enhances therapeutic delivery. The molecule exhibits a favorable half-life and toxicity profile. In vitro and in vivo studies demonstrated promising effects in fracture healing, bone cancer, osteomyelitis, and osteoporosis models. Systemic administration improved fracture repair outcomes and enhanced bone density in osteoporosis models. This bone-targeting molecule represents a promising therapeutic delivery option for bone-related disorders and fractures.	266
5	The sodium-dependent phosphate transporter (TmPiT) is crucial for regulating inorganic phosphate levels in the body. Its structure and mechanism of action have been extensively studied, but the underlying molecular details remain complex. Using X-ray crystallography and molecular dynamics simulations, we investigated the structure of TmPiT in the inward occluded conformation, a key intermediate in the phosphate transport process. We found that sodium ions play a critical role in stabilizing the conformation and facilitating phosphate transport. Notably, disease-related mutations in hPiT variants can alter the transporter's structure and function, highlighting the potential for therapeutic intervention. Our findings inform drug design strategies for targeting TmPiT.#In this article, we provide the first crystallographic structure of the sodium-dependent phosphate transporter TmPiT. The structure reveals a unique elevator mechanism that enables the transport of phosphate across the plasma membrane. The transporter consists of three domains: D1, D2, and D3. D1 and D2 are extracellular, while D3 is intracellular. The three-dimensional structure of TmPiT shows a novel inward occluded conformation, where phosphate ions are occluded within the D3 domain. This conformation is stabilized by a conserved sodium ion binding site, which facilitates the transport of phosphate across the membrane. We also present hPiT variants with disease-related mutations and discuss their implications for drug design.	272
6	NSCLC is a leading cause of cancer death worldwide. The limited efficacy of existing treatments necessitates innovative approaches. In this study, we utilized transgenic mice to model metastatic NSCLC, leveraging qPCR and immunohistochemistry to investigate the efficacy of tyrosine kinase inhibitors and immunotherapy. Notably, our findings revealed that ROS1 inhibition and K-RasG12D mutation status significantly impact tumor progression. We also demonstrated the potent immune-activating effects of electrovaccination and the development of immune memory. These results provide a foundation for the development of novel, combined therapies targeting metastatic NSCLC and other cancers, offering improved patient outcomes.#We investigated the efficacy of electrovaccination with plasmids encoding tumor antigens in a transgenic model of autochthonous NSCLC. Mice with metastatic K-RasG12D NSCLC were immunized with electrovaccination plasmids encoding tumor antigens. Survival was monitored, and tumor rejection was assessed using qPCR and immunohistochemistry. Tumor samples were also evaluated for ROS1 expression and cancer cell death using ROS1-specific inhibitors. Immunohistochemistry revealed significant immune memory, and electrovaccination induced a 50% reduction in cancer death. Our results suggest that electrovaccination with plasmids encoding tumor antigens is a promising approach for cancer immunotherapy in NSCLC.	270
7	Omentum-derived immune cells play a crucial role in the metastasis of ovarian cancer. We used RNA-sequencing to investigate the molecular mechanisms underlying the immune response in the omentum of ovarian cancer patients. Our results show that omental macrophages expressing CCR1 and CCL6/CCL23 chemokine ligands facilitate the migration and colonization of ovarian cancer cells. The ERK1/2 and PI3K signaling pathways are involved in the regulation of this process. Notably, depletion of omental macrophages and inhibition of CCR1 and chemokine ligands significantly impaired ovarian cancer metastasis. Our findings highlight the potential of omental macrophages as therapeutic targets in ovarian cancer.#The omentum, a fatty tissue surrounding the intestines, is a frequent site of metastasis in ovarian cancer. Recent studies have identified milky spots, specific aggregates of immune cells, within the omental tissue of ovarian cancer patients. We used RNA-seq to investigate the gene expression profile of immune cells within these milky spots. Our results show that macrophages within these spots express chemokine ligands CCL6 and CCL23, which are involved in the recruitment of CCR1+ cells. ERK1/2 and PI3K signaling pathways were activated, leading to the migration and colonization of ovarian cancer cells. Inhibition of these pathways impaired metastasis.	269
8	The effects of cannabis use on the mental health and well-being of adolescents in Canada necessitate a comprehensive understanding of the risks and benefits associated with its use. This study aimed to examine the relationship between cannabis use and the risk of misusing psychoactive substances among adolescents in a clinical setting. Our findings indicate that evidence-based tools, such as screening questionnaires and specialized interventions, can effectively identify adolescents at risk of misuse. We also identified the importance of goal-setting and family support in mitigating the risks associated with cannabis use. Our study provides valuable insights for health care providers and resources for adolescents and families.#This article reviews the current evidence regarding cannabis use among adolescents in Canada and the role of health care providers in addressing substance use in this population. A comprehensive review of the literature on cannabis use, its effects on adolescents, and the clinical setting was conducted. Specialized interventions and evidence-based tools were examined in the context of screening questionnaires and goal-setting. The impact of cannabis use on risky behaviours and the need for family support were also evaluated. This article aims to provide an overview of the current state of knowledge on cannabis use among adolescents in Canada and inform evidence-based practice.	269
9	Pneumothorax as a complication of COVID-19 poses a significant threat to patient outcomes. The rapid spread of the infection and the underlying respiratory issues exacerbate the risk of developing this condition. Awareness of the symptoms and warning signs is crucial to prevent pneumothorax, as it often presents with non-specific respiratory symptoms. Early detection and treatment are essential to mitigate the complications and improve survival rates. This review aims to highlight the current understanding of pneumothorax as a complication of COVID-19, the importance of awareness, and the need for early intervention to prevent this potentially life-threatening condition.#A pneumothorax, also known as the collapse of the lung, can occur as a complication of COVID-19. This condition can be caused by the virus's effect on the lung's ability to expand and contract properly. When a pneumothorax occurs, the lung's air sacs can rupture, causing air to leak into the chest cavity. This can lead to the collapse of the lung, resulting in a range of complications, including difficulty breathing, pneumonia, and even death. It is essential to raise awareness about the potential complications of COVID-19, especially pneumothorax, to prevent and treat these complications effectively.	269
10	Gulf War Illness (GWI) is a chronic health condition affecting many veterans, characterized by unexplained symptoms including posttraumatic stress disorder (PTSD), mood disorders, gastrointestinal (GI) problems, and chronic fatigue. This condition is marked by significant alterations in the gut microbiome, including increased levels of Firmicutes and decreased levels of Bacteroidetes, resulting in dysbiosis. Our mouse model, fed a high-fat diet (HF) and exposed to stress, exhibits similar changes. Treatment-induced changes in gut microbiome composition are reversible with dietary intervention, suggesting lifestyle risk factors play a crucial role in GWI. Our findings highlight the importance of gut microbiome in GWI and provide a potential avenue for treatment.#Gulf War Illness (GWI) is a chronic health condition affecting veterans of the Gulf War, characterized by a range of symptoms including posttraumatic stress disorder (PTSD), mood disorders, gastrointestinal problems, chronic fatigue, and cognitive impairments. A mouse model of GWI was established using a high-fat diet (HF) to induce dysbiosis, a shift in the gut microbiome structure characterized by decreased Firmicutes and increased Bacteroidetes. This taxonomic structure was associated with GWI symptoms. Following a treatment-induced change, recovery was achieved through a dietary intervention focusing on increasing Firmicutes and Bacteroidetes populations. Lifestyle risk factors and dietary intervention were found to be reversible, suggesting potential for treatment of GWI.	262
